,0,1,125,250,375,500,625,750,875,1000,1125
D0_x,39.6445,41.996,44.6326,44.6326,44.6326,44.6326,44.6326,44.6326,44.6326,44.6326,44.6326
D0_y,445.596,448.486,450.57,450.57,450.57,450.57,450.57,450.57,450.57,450.57,450.57
D1_x,398.847,404.438,405.778,405.778,405.778,405.778,405.778,405.778,405.778,405.778,405.778
D1_y,252.943,266.423,265.758,265.758,265.758,265.758,265.758,265.758,265.758,265.758,265.758
D2_x,74.9946,76.5607,76.8341,76.8341,76.7004,74.4863,70.7039,68.891,67.5056,64.7592,62.3356
D2_y,125.797,126.469,125.744,125.744,126.022,128.489,130.694,132.47,132.858,132.281,131.694
D3_x,109.139,109.153,110.146,108.664,98.8731,95.8088,92.1864,86.0894,72.2769,58.6172,57.8617
D3_y,193.411,193.44,198.709,200.187,201.195,203.948,208.558,205.072,204.965,204.43,204.774
D4_x,455.103,455.235,456.622,456.622,456.622,456.622,456.622,456.622,456.622,456.622,456.622
D4_y,331.409,331.332,330.93,330.93,330.93,330.93,330.93,330.93,330.93,330.93,330.93
D5_x,345.397,345.397,346.891,347.517,348.533,348.784,349.293,350.066,350.365,350.424,352.301
D5_y,494.431,494.431,494.319,494.268,494.176,494.152,494.101,494.019,493.985,494.79,495.1
D6_x,343.261,344.018,349.741,350.609,350.56,350.866,350.916,350.934,350.941,350.944,350.951
D6_y,278.892,278.994,276.191,276.932,277.029,277.368,277.427,277.449,277.459,277.462,277.471
D7_x,157.595,158.434,150.064,147.856,147.59,143.879,140.735,139.599,134.449,147.675,154.911
D7_y,230.092,229.241,228.1,229.683,229.709,226.085,235.991,238.958,231.949,220.781,217.552
D8_x,79.6065,78.0271,78.0271,78.0271,78.0271,78.0271,78.0271,78.0271,78.0271,78.0271,78.0271
D8_y,434.803,433.56,433.56,433.56,433.56,433.56,433.56,433.56,433.56,433.56,433.56
D9_x,416.862,418.9,419.072,419.072,419.072,419.072,419.072,419.072,419.074,419.081,419.081
D9_y,55.7285,53.8513,53.9013,53.9013,53.9013,53.9013,53.9013,53.9013,53.9017,53.9038,53.9038
D10_x,277.751,279.883,277.84,277.84,277.84,277.827,277.909,278.794,277.695,275.781,260.959
D10_y,476.985,485.099,489.663,489.663,489.663,491.331,493.381,495.1,495.1,495.1,495.099
D11_x,319.889,320.073,320.073,320.073,320.073,320.073,319.893,319.254,317.48,315.916,315.643
D11_y,33.7367,33.7375,33.7375,33.7375,33.7375,33.7375,34.0492,34.1585,35.338,37.3349,37.7295
D12_x,90.9869,93.5583,93.8326,93.8326,93.8326,93.8326,93.8326,93.8326,93.8326,93.8326,93.8326
D12_y,410.185,410.969,411.584,411.584,411.584,411.584,411.584,411.584,411.584,411.584,411.584
D13_x,340.983,341.249,341.987,342.599,343.356,343.902,344.848,346.206,345.96,345.97,346.684
D13_y,463.455,463.28,462.884,463.874,466.617,469.055,471.364,473.459,475.147,475.704,475.714
D14_x,460.518,460.518,460.594,460.594,460.594,460.594,460.594,460.594,460.594,460.594,460.594
D14_y,105.567,105.567,108.317,108.317,108.317,108.317,108.317,108.317,108.317,108.317,108.317
D15_x,220.017,220.017,219.691,217.236,215.399,216.883,219.025,220.877,218.994,214.396,208.175
D15_y,346.035,346.035,346.116,346.572,346.624,346.14,345.825,345.73,342.462,342.591,341.022
D16_x,219.536,217.787,219.159,220.316,218.58,216.094,213.644,211.327,209.569,209.38,210.644
D16_y,192.472,189.081,190.052,192.261,193.253,193.0,192.511,191.588,189.86,187.43,185.295
D17_x,465.013,462.698,462.698,462.698,462.698,462.698,462.698,462.698,462.698,462.698,462.698
D17_y,84.1209,88.8305,88.8305,88.8305,88.8305,88.8305,88.8305,88.8305,88.8305,88.8305,88.8305
D18_x,426.245,426.259,427.96,428.291,428.678,430.363,430.416,430.416,430.416,430.468,430.501
D18_y,417.135,417.149,418.867,419.225,418.984,418.971,418.974,418.974,418.974,418.978,418.98
D19_x,39.6538,39.6538,38.4911,40.3125,42.2347,43.9442,45.9723,45.9723,45.7718,44.9245,44.3167
D19_y,178.77,178.77,179.796,180.797,182.387,184.256,186.371,186.371,187.307,186.783,185.686
D20_x,148.67,146.407,148.975,148.905,148.017,146.298,148.202,150.541,153.022,155.307,156.969
D20_y,99.318,98.6945,102.54,101.65,100.376,99.0365,100.656,101.419,101.169,100.193,98.3553
D21_x,141.544,142.408,142.669,142.669,142.669,142.669,142.669,142.669,142.669,142.669,144.035
D21_y,411.674,400.477,399.971,399.971,399.971,399.971,399.971,399.971,399.971,399.971,398.83
D22_x,102.017,103.236,112.583,112.403,112.328,114.271,113.798,116.545,116.041,125.732,135.476
D22_y,312.176,318.099,312.301,309.81,306.911,308.467,305.305,307.575,308.486,313.372,316.483
D23_x,289.486,292.152,292.366,290.896,288.668,285.401,280.597,275.117,270.6,266.811,262.911
D23_y,380.864,378.924,379.099,379.422,378.98,377.825,375.611,370.951,366.172,360.996,355.816
D24_x,398.488,399.681,400.802,400.959,400.965,400.965,400.965,400.965,400.965,400.965,400.965
D24_y,148.931,148.806,150.894,150.929,150.93,150.93,150.93,150.93,150.93,150.93,150.93
D25_x,374.24,361.153,359.36,358.664,358.102,357.362,355.267,357.634,358.811,361.714,364.037
D25_y,471.181,481.928,482.387,482.688,482.824,483.414,487.158,487.801,488.237,486.214,485.469
D26_x,406.385,406.153,408.232,410.727,412.803,413.738,413.738,413.738,413.738,413.738,413.738
D26_y,377.396,376.944,377.044,376.945,376.63,376.281,376.281,376.281,376.281,376.281,376.281
D27_x,208.045,202.314,202.314,202.057,202.999,204.832,206.417,207.834,210.223,212.398,212.28
D27_y,67.8613,68.7222,68.7222,66.7009,64.4053,62.7349,62.0889,62.6725,63.4049,64.6226,66.2502
D28_x,382.907,382.546,382.878,384.399,386.881,389.304,391.103,391.103,391.103,391.103,391.103
