,0,1,125,250,375,500,625,750,875,1000,1125
D0_x,267.298,264.486,264.935,263.683,268.043,272.858,274.956,273.241,273.537,278.524,279.553
D0_y,198.517,198.551,183.733,175.33,164.09,152.679,146.003,144.79,151.751,161.828,162.871
D1_x,33.8546,33.8546,37.6029,42.8209,46.2464,45.2735,45.2735,45.2735,45.2735,45.2701,45.0831
D1_y,423.325,423.325,422.731,422.247,420.534,421.783,421.783,421.783,421.783,421.788,422.085
D2_x,393.353,393.353,394.612,393.246,397.229,388.628,392.915,404.775,411.299,411.52,412.334
D2_y,167.576,167.576,163.936,156.764,154.697,153.515,158.848,166.779,164.912,166.631,170.71
D3_x,160.701,160.225,150.449,147.341,149.344,154.547,160.283,167.773,176.803,187.268,187.892
D3_y,234.391,240.429,248.656,254.949,260.708,264.047,270.383,266.73,264.246,261.7,261.005
D4_x,273.77,273.748,272.109,269.362,267.445,250.413,248.439,248.648,243.139,239.513,232.501
D4_y,270.87,270.937,285.16,292.956,293.757,289.427,279.753,272.189,265.146,255.701,250.209
D5_x,99.9935,99.9935,102.335,102.919,106.069,106.308,108.948,108.948,108.948,108.948,108.948
D5_y,140.983,140.983,140.009,139.788,136.704,134.876,128.553,128.553,128.553,128.553,128.553
D6_x,406.269,407.17,413.348,418.924,423.861,425.357,422.802,412.558,399.633,402.867,403.951
D6_y,239.34,236.967,235.266,235.503,239.21,240.355,231.145,230.584,235.434,238.922,239.511
D7_x,77.9176,77.9176,75.5856,70.7374,64.4951,58.4359,53.2782,49.2449,46.9605,46.9605,46.9605
D7_y,229.849,229.849,229.757,228.564,228.493,227.051,223.555,218.786,216.842,216.842,216.842
D8_x,20.507,20.4393,20.7044,20.7044,20.7044,20.7044,20.7044,20.7044,20.7044,20.7044,20.7044
D8_y,18.6624,19.5571,19.4336,19.4336,19.4336,19.4336,19.4336,19.4336,19.4336,19.4336,19.4336
D9_x,199.579,202.489,202.124,202.124,201.437,201.437,201.235,197.711,197.15,195.038,195.908
D9_y,18.8233,19.2575,19.7684,19.7684,18.8661,18.8661,18.5232,9.10402,7.03613,4.9,4.9
D10_x,279.386,279.387,277.75,279.258,280.686,278.094,273.91,279.638,280.297,280.758,270.29
D10_y,230.396,230.308,220.862,215.424,213.215,221.0,231.584,222.507,208.088,202.176,202.25
D11_x,411.04,411.04,410.522,410.522,410.522,410.522,410.522,410.522,410.522,410.522,410.522
D11_y,430.041,430.041,429.294,429.294,429.294,429.294,429.294,429.294,429.294,429.294,429.294
D12_x,214.23,214.309,220.064,225.693,228.772,222.341,223.011,224.374,220.142,219.574,218.305
D12_y,110.816,109.002,109.306,99.1996,92.2266,86.8451,88.9058,88.9623,87.727,87.535,88.4354
D13_x,392.035,393.998,393.868,393.868,393.868,393.868,393.868,393.868,393.868,393.868,393.868
D13_y,451.734,452.018,452.728,452.728,452.728,452.728,452.728,452.728,452.728,452.728,452.728
