,0,1,166,332,498,664,830,996,1162,1328,1494,1660,1826,1992
D0_x,119.569,120.099,125.222,125.668,126.821,130.865,133.564,132.982,137.316,117.536,95.9103,86.9679,105.182,106.507
D0_y,118.876,120.186,121.388,124.401,122.199,121.693,121.44,121.029,127.41,119.244,111.178,111.206,120.586,121.143
D1_x,365.848,362.531,356.044,364.583,375.787,380.683,378.497,382.272,383.813,365.975,363.455,358.514,349.084,347.175
D1_y,249.848,258.914,259.298,251.328,248.234,243.754,237.412,243.192,259.609,272.469,282.474,290.32,289.842,279.285
D2_x,86.6639,86.7591,97.2037,92.7875,60.586,64.619,58.8536,60.6286,72.5517,84.2204,90.1191,103.043,116.095,125.18
D2_y,357.574,357.624,352.211,353.296,359.123,370.098,372.216,371.817,372.729,371.624,372.061,365.738,358.024,356.052
D3_x,261.18,272.181,279.208,285.474,286.261,292.355,301.975,306.123,311.345,316.856,318.269,314.868,326.137,337.183
D3_y,290.239,293.88,289.536,285.578,280.931,280.25,271.288,280.677,279.802,280.118,282.781,287.252,290.824,293.011
D4_x,393.457,393.466,396.609,394.219,393.829,393.146,383.354,383.884,388.638,392.405,395.843,398.987,410.361,419.681
D4_y,162.241,162.295,157.222,166.763,164.519,161.348,161.526,151.134,155.571,162.673,155.255,158.035,155.499,150.764
D5_x,395.264,395.533,394.226,393.927,394.976,393.898,380.808,374.992,379.215,376.18,370.278,375.304,369.927,370.843
D5_y,204.583,204.644,214.263,216.73,219.64,217.133,205.336,201.577,213.229,222.048,228.49,229.841,224.032,224.26
D6_x,300.523,302.662,316.394,325.786,329.455,334.712,338.586,338.319,337.5,339.971,341.842,342.392,339.344,343.217
D6_y,472.863,471.702,478.472,472.513,475.351,477.457,477.397,479.441,476.228,466.029,462.53,460.996,458.632,451.432
D7_x,476.283,478.198,480.913,483.797,483.609,485.94,489.606,494.021,494.31,491.827,488.854,486.438,489.678,487.867
D7_y,419.122,419.873,418.422,416.892,415.299,413.949,412.988,413.531,415.489,416.291,417.142,416.118,417.478,417.578
D8_x,275.048,276.029,283.422,285.312,273.547,268.084,257.667,268.083,263.905,267.676,253.967,248.453,251.703,254.14
D8_y,221.485,229.483,225.608,227.345,225.26,225.133,195.835,169.517,155.516,161.165,163.19,167.523,168.629,182.57
D9_x,373.032,370.746,361.733,367.353,369.633,365.827,367.303,364.727,361.684,360.077,358.507,358.288,354.023,357.738
D9_y,324.947,322.036,316.805,323.308,324.09,325.444,327.302,327.935,334.482,336.171,339.327,346.58,345.452,345.903
D10_x,203.559,203.576,201.792,201.029,211.069,236.503,233.875,239.664,238.861,232.049,228.947,225.484,220.627,214.454
D10_y,245.442,245.437,248.325,243.325,254.232,253.939,240.26,241.368,254.944,267.384,274.16,284.234,294.519,292.789
D11_x,223.226,224.216,228.56,247.102,254.368,266.878,265.7,262.142,247.105,240.715,238.154,230.39,224.731,217.415
D11_y,391.258,384.61,377.018,378.91,377.475,378.997,370.818,368.744,362.504,355.017,351.596,348.142,344.104,337.25
D12_x,14.7998,14.0978,14.9579,15.991,11.7274,7.19824,5.20518,5.25029,7.3684,9.11513,11.4618,14.2462,16.6755,21.0862
D12_y,472.204,472.628,476.143,480.547,481.267,480.29,479.932,480.1,480.006,479.163,478.934,478.213,477.561,481.736
D13_x,442.93,445.325,438.855,433.807,429.591,421.094,412.912,414.147,409.969,407.413,409.184,417.055,423.132,425.629
D13_y,123.845,121.25,120.352,117.317,112.381,111.903,110.314,100.197,97.048,95.9585,90.2479,86.5152,90.5357,94.4762
D14_x,226.849,226.08,214.85,202.607,206.748,231.358,227.109,225.123,229.862,226.198,218.221,214.818,212.361,213.329
D14_y,302.586,298.855,301.873,299.465,308.974,311.219,306.811,298.118,303.67,300.272,295.955,299.326,307.995,302.525
D15_x,293.457,298.025,300.508,301.993,310.535,316.027,313.678,314.589,320.008,323.1,329.895,332.479,341.184,345.941
D15_y,172.368,164.598,170.382,171.757,165.35,166.203,130.215,127.489,134.06,142.115,149.272,152.627,149.829,154.504
