full_trajectory_uncertainty,id_0,id_1,id_2,id_3,id_4,id_5,id_6,id_7,id_8,y0,x0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,p0_1,p1_2,p2_3,p3_4,p4_5,p5_6,p6_7,p7_8,p0-2,p0-3,p0-4,p0-5,p0-6,p0-7,p0-8,p1-3,p1-4,p1-5,p1-6,p1-7,p1-8,p2-4,p2-5,p2-6,p2-7,p2-8,p3-5,p3-6,p3-7,p3-8,p4-6,p4-7,p4-8,p5-7,p5-8,p6-8,nr_cells0,nr_cells1,nr_cells2,nr_cells3,nr_cells4,nr_cells5,nr_cells6,nr_cells7,nr_cells8
0.869,1791,977,152,2187,963,1917,318,2304,479,1664.0,1048.0,1242.0,1723.0,1367.0,1733.0,1408.0,1748.0,1503.0,1785.0,1530.0,1795.0,1533.0,1793.0,1533.0,1796.0,1540.0,1794.0,0.753,0.887,0.887,0.946,0.954,0.753,0.887,0.887,0.82,0.842,0.868,0.885,0.863,0.867,0.869,0.887,0.907,0.918,0.885,0.886,0.886,0.917,0.929,0.885,0.885,0.886,0.95,0.884,0.885,0.885,0.853,0.864,0.87,0.82,0.842,0.887,0,0,0,0,0,0,0,0,0
0.868,1008,2276,915,1180,652,1791,2494,1497,2171,1987.0,1471.0,1498.0,1967.0,1539.0,1978.0,1546.0,1981.0,1552.0,1976.0,1553.0,1977.0,1554.0,1977.0,1554.0,1978.0,1553.0,1979.0,0.753,0.753,0.753,0.954,0.946,0.887,0.946,0.954,0.753,0.753,0.803,0.832,0.841,0.856,0.868,0.753,0.82,0.851,0.858,0.873,0.885,0.853,0.884,0.885,0.897,0.907,0.95,0.929,0.933,0.937,0.917,0.926,0.933,0.917,0.929,0.95,0,0,0,0,0,0,0,0,0
0.863,975,66,1890,1507,356,2175,345,37,10,1945.0,1653.0,1676.0,1956.0,1734.0,1969.0,1735.0,1969.0,1736.0,1970.0,1736.0,1970.0,1736.0,1970.0,1736.0,1970.0,1737.0,1969.0,0.946,0.887,0.808,0.808,0.808,0.946,0.946,0.753,0.917,0.88,0.862,0.851,0.867,0.878,0.863,0.847,0.834,0.827,0.851,0.867,0.851,0.808,0.808,0.842,0.863,0.845,0.808,0.854,0.877,0.852,0.877,0.9,0.863,0.946,0.882,0.849,0,0,0,0,0,0,0,0,0
0.851,770,2022,1303,42,1835,2439,1768,2507,1828,1815.0,762.0,859.0,1800.0,924.0,1780.0,1002.0,1756.0,1039.0,1745.0,1037.0,1732.0,1043.0,1730.0,1045.0,1723.0,1053.0,1729.0,0.887,0.753,0.753,0.808,0.946,0.887,0.887,0.887,0.82,0.797,0.8,0.829,0.839,0.846,0.851,0.753,0.771,0.815,0.829,0.839,0.846,0.78,0.836,0.848,0.856,0.861,0.877,0.88,0.882,0.883,0.917,0.907,0.902,0.887,0.887,0.887,0,0,0,0,0,0,0,0,0
0.847,5,1260,112,1020,75,2118,1458,1378,1860,1803.0,1217.0,1253.0,1798.0,1273.0,1794.0,1316.0,1801.0,1355.0,1797.0,1381.0,1810.0,1388.0,1811.0,1389.0,1812.0,1397.0,1807.0,0.808,0.753,0.753,0.887,0.753,0.994,0.946,0.887,0.78,0.771,0.8,0.79,0.824,0.842,0.847,0.753,0.797,0.786,0.828,0.847,0.853,0.82,0.797,0.846,0.866,0.87,0.82,0.878,0.895,0.893,0.873,0.897,0.895,0.97,0.942,0.917,0,0,0,0,0,0,0,0,0
0.842,2149,2085,2259,1310,1974,1656,618,2006,566,1893.0,1156.0,1194.0,1886.0,1220.0,1887.0,1250.0,1884.0,1253.0,1885.0,1265.0,1892.0,1272.0,1888.0,1272.0,1889.0,1271.0,1888.0,1.0,0.808,0.887,0.954,0.753,0.5,0.887,0.946,0.904,0.898,0.912,0.88,0.817,0.827,0.842,0.847,0.883,0.85,0.78,0.798,0.819,0.92,0.864,0.773,0.796,0.821,0.853,0.735,0.773,0.808,0.626,0.713,0.771,0.693,0.778,0.917,0,0,0,0,0,0,0,0,0
0.837,981,2133,1957,2042,1322,636,1960,2109,1424,1937.0,1693.0,1715.0,1945.0,1775.0,1976.0,1789.0,1969.0,1795.0,1965.0,1800.0,1965.0,1802.0,1965.0,1802.0,1966.0,1803.0,1965.0,0.808,0.753,0.887,0.986,0.753,0.946,0.808,0.753,0.78,0.816,0.858,0.837,0.855,0.849,0.837,0.82,0.875,0.845,0.865,0.855,0.841,0.937,0.875,0.893,0.876,0.855,0.87,0.895,0.873,0.849,0.849,0.836,0.815,0.877,0.836,0.78,0,0,0,0,0,0,0,0,0
0.835,1140,517,326,559,174,2117,2543,1261,502,1934.0,1260.0,1290.0,1932.0,1318.0,1926.0,1342.0,1936.0,1355.0,1946.0,1358.0,1946.0,1358.0,1946.0,1358.0,1947.0,1357.0,1946.0,0.946,0.753,0.784,0.753,0.753,0.887,0.919,0.887,0.849,0.828,0.809,0.798,0.812,0.828,0.835,0.768,0.763,0.76,0.786,0.808,0.819,0.768,0.763,0.794,0.819,0.83,0.753,0.797,0.828,0.84,0.82,0.853,0.861,0.903,0.898,0.903,2,2,2,2,2,2,2,2,2
0.827,753,503,424,1974,259,1761,2078,1628,1819,1550.0,331.0,443.0,1567.0,489.0,1592.0,568.0,1684.0,653.0,1715.0,699.0,1710.0,698.0,1685.0,703.0,1686.0,702.0,1678.0,0.753,0.808,0.887,0.753,0.753,0.887,0.887,0.887,0.78,0.816,0.8,0.79,0.807,0.818,0.827,0.847,0.816,0.8,0.817,0.829,0.837,0.82,0.797,0.82,0.833,0.842,0.753,0.797,0.82,0.833,0.82,0.842,0.853,0.887,0.887,0.887,0,0,0,0,0,0,0,0,0
0.81,1497,1678,1874,1022,1784,1786,2252,2440,1113,1974.0,1254.0,1279.0,1971.0,1311.0,1965.0,1329.0,1974.0,1329.0,1977.0,1332.0,1991.0,1332.0,1990.0,1332.0,1992.0,1331.0,1992.0,0.808,0.887,0.954,0.5,0.685,0.946,0.946,0.753,0.847,0.883,0.787,0.767,0.797,0.818,0.81,0.92,0.78,0.756,0.794,0.82,0.81,0.727,0.713,0.771,0.806,0.797,0.592,0.71,0.769,0.766,0.816,0.859,0.832,0.946,0.882,0.849,1,1,1,1,1,1,1,1,1
0.808,801,524,2182,1946,2365,1967,613,1016,1438,1943.0,961.0,999.0,1943.0,1020.0,1970.0,1040.0,1962.0,1041.0,1958.0,1066.0,1976.0,1066.0,1976.0,1068.0,1976.0,1069.0,1977.0,0.753,0.5,0.753,0.946,0.808,0.946,0.808,0.954,0.626,0.668,0.738,0.752,0.784,0.788,0.808,0.626,0.733,0.752,0.791,0.793,0.816,0.849,0.836,0.863,0.852,0.869,0.877,0.9,0.877,0.892,0.877,0.854,0.879,0.877,0.903,0.881,0,0,0,0,0,0,0,0,0
0.807,65,1891,1872,1174,1371,1304,1139,2178,908,1961.0,1178.0,1212.0,1953.0,1242.0,1953.0,1262.0,1952.0,1264.0,1953.0,1269.0,1961.0,1270.0,1961.0,1269.0,1962.0,1269.0,1962.0,0.753,0.753,0.753,0.753,0.808,0.887,0.808,0.946,0.753,0.753,0.753,0.764,0.784,0.787,0.807,0.753,0.753,0.766,0.79,0.793,0.815,0.753,0.771,0.8,0.801,0.826,0.78,0.816,0.814,0.84,0.847,0.834,0.862,0.847,0.88,0.877,0,0,0,0,0,0,0,0,0
0.804,328,1250,1977,727,1299,1741,2412,1093,2296,1943.0,1733.0,1755.0,1947.0,1816.0,1967.0,1829.0,1964.0,1848.0,1962.0,1848.0,1963.0,1852.0,1963.0,1852.0,1964.0,1851.0,1963.0,0.808,0.753,0.887,0.753,0.808,0.808,0.808,0.808,0.78,0.816,0.8,0.801,0.803,0.803,0.804,0.82,0.797,0.8,0.801,0.803,0.803,0.82,0.816,0.814,0.812,0.812,0.78,0.789,0.794,0.797,0.808,0.808,0.808,0.808,0.808,0.808,1,1,1,1,1,1,1,1,1
