frames,auprc,brier,p@_100,p@_500,p@_1000,p@_2000,p@_5000,p@_5517,auprc_total,brier_total
0-1,0.9999969870758796,0.0995418896139206,1.0,1.0,1.0,1.0,1.0,0.9902120717781403,0.9999989952034828,0.10056641779952874
1-2,0.9999995333553999,0.10726474188870763,1.0,1.0,1.0,1.0,1.0,0.9932934565887258,0.9999989952034828,0.10056641779952874
2-3,0.9999999333521792,0.09489262189595796,1.0,1.0,1.0,1.0,1.0,0.9927496827986224,0.9999989952034828,0.10056641779952874
Mean,0.9999988179278195,0.10056641779952873,1.0,1.0,1.0,1.0,1.0,0.9920850703884962,0.9999989952034828,0.10056641779952874
Max,0.9999999333521792,0.10726474188870763,1.0,1.0,1.0,1.0,1.0,0.9932934565887258,0.9999989952034828,0.10056641779952874
