full_trajectory_uncertainty,id_0,id_1,id_2,id_3,x0,y0,x1,y1,x2,y2,x3,y3,p0_1,p1_2,p2_3,p0-2,p0-3,p1-3,nr_cells0,nr_cells1,nr_cells2,nr_cells3
0.7,171,171,171,171,479.993,133.654,479.993,133.654,479.128,133.733,479.128,133.733,0.713,0.694,0.693,0.703,0.7,0.694,1,1,1,1
0.526,172,172,172,172,77.334,53.854,66.308,58.934,57.693,60.076,56.207,60.563,0.608,0.445,0.526,0.527,0.526,0.486,0,0,0,0
0.667,173,173,173,173,374.73,131.912,359.8,133.292,357.272,132.854,366.724,140.439,0.664,0.563,0.773,0.614,0.667,0.668,0,0,0,0
0.623,174,174,174,174,64.062,370.863,70.35,372.107,71.019,373.145,73.567,376.14,0.531,0.791,0.549,0.661,0.623,0.67,0,0,0,0
0.592,175,175,175,175,435.37,243.099,434.378,243.459,438.222,243.424,438.825,243.444,0.604,0.509,0.664,0.556,0.592,0.586,1,1,1,1
0.615,176,176,176,176,346.953,124.954,345.307,123.117,352.383,143.302,348.341,129.784,0.778,0.528,0.54,0.653,0.615,0.534,0,0,0,0
0.75,177,177,177,177,240.411,316.574,233.422,316.435,233.205,322.58,233.805,325.846,0.673,0.811,0.765,0.742,0.75,0.788,0,0,0,0
0.629,178,178,178,178,86.993,475.53,86.993,475.53,86.995,475.526,89.682,476.121,0.356,0.75,0.782,0.553,0.629,0.766,0,0,0,0
0.637,179,179,179,179,246.445,378.703,247.09,375.622,256.293,366.938,243.523,367.712,0.771,0.509,0.63,0.64,0.637,0.57,1,1,1,1
0.727,180,180,180,180,296.419,357.548,296.931,358.917,298.502,364.457,296.86,368.277,0.571,0.777,0.832,0.674,0.727,0.804,0,0,0,0
0.747,181,181,181,181,262.296,125.936,257.554,130.062,273.71,116.064,275.363,96.478,0.803,0.692,0.745,0.748,0.747,0.719,0,0,0,0
0.769,182,182,182,182,49.575,281.979,55.574,286.093,53.587,288.129,49.43,285.185,0.862,0.686,0.759,0.774,0.769,0.723,0,0,0,0
0.747,183,183,183,183,263.898,280.694,268.35,291.49,267.574,295.185,265.272,285.873,0.696,0.777,0.77,0.736,0.747,0.773,0,0,0,0
0.747,184,184,184,184,365.301,419.123,363.462,417.444,362.856,416.814,362.856,416.814,0.676,0.653,0.913,0.664,0.747,0.783,0,0,0,0
0.822,185,185,185,185,305.008,489.442,305.113,488.942,305.113,488.942,305.113,488.942,0.713,0.884,0.868,0.799,0.822,0.876,1,1,1,1
0.537,187,187,187,187,318.943,212.185,315.876,211.639,309.6,215.524,314.21,220.143,0.618,0.422,0.571,0.52,0.537,0.496,0,0,0,0
0.717,189,189,189,189,420.117,54.849,418.657,54.284,415.664,52.998,414.828,51.053,0.808,0.68,0.662,0.744,0.717,0.671,1,1,1,1
0.546,190,190,190,190,207.316,256.536,220.645,252.261,225.241,250.067,218.237,259.062,0.575,0.447,0.614,0.511,0.546,0.531,0,0,0,0
0.701,191,191,191,191,237.121,309.804,228.051,314.459,226.07,312.371,220.835,312.997,0.729,0.683,0.692,0.706,0.701,0.687,0,0,0,0
0.656,192,192,192,192,199.852,417.396,201.045,415.811,198.812,409.91,203.064,400.988,0.825,0.67,0.473,0.748,0.656,0.572,0,0,0,0
0.76,194,194,194,194,339.044,280.635,348.216,272.135,340.449,260.452,334.326,265.081,0.749,0.738,0.791,0.744,0.76,0.765,1,1,1,1
