frames,auprc,brier,p@_89,auprc_total,brier_total
0-1,1.0,0.09521393258426965,0.6067415730337079,0.9995501151931818,0.09980443071161049
1-2,0.9989838017340629,0.10307255056179776,0.7078651685393258,0.9995501151931818,0.09980443071161049
2-3,1.0,0.10112680898876404,0.6853932584269663,0.9995501151931818,0.09980443071161049
Mean,0.9996612672446877,0.09980443071161048,0.6666666666666666,0.9995501151931818,0.09980443071161049
Max,1.0,0.10307255056179776,0.7078651685393258,0.9995501151931818,0.09980443071161049
