full_trajectory_uncertainty,id_0,id_1,id_2,id_3,x0,y0,x1,y1,x2,y2,x3,y3,p0_1,p1_2,p2_3,p0-2,p0-3,p1-3,nr_cells0,nr_cells1,nr_cells2,nr_cells3
0.52,4171,4171,3381,3381,246.378,487.707,246.616,487.928,216.149,473.643,216.359,472.213,0.83,0.042,0.689,0.436,0.52,0.365,0,0,1,1
0.519,5844,5844,5844,3423,12.737,161.714,12.772,161.566,12.787,161.509,24.448,155.968,0.743,0.731,0.083,0.737,0.519,0.407,0,0,0,0
0.517,1845,3049,3049,3049,282.222,10.111,218.261,44.101,217.069,38.64,210.861,34.534,0.069,0.749,0.733,0.409,0.517,0.741,0,0,0,0
0.516,3671,3671,3671,1521,31.045,11.891,31.045,11.891,30.678,11.483,62.611,12.988,0.824,0.615,0.109,0.72,0.516,0.362,0,0,0,0
0.516,4786,4786,5551,5551,487.923,47.492,486.977,41.684,477.916,32.164,478.292,32.587,0.812,0.068,0.667,0.44,0.516,0.367,0,0,1,1
0.515,5765,1457,1457,1457,287.761,11.83,283.935,18.007,284.17,18.213,284.387,18.704,0.085,0.8,0.658,0.443,0.515,0.729,0,0,0,0
0.509,1386,432,432,432,153.538,14.401,161.242,27.824,153.105,25.327,149.986,18.524,0.069,0.701,0.757,0.385,0.509,0.729,0,1,1,1
0.504,2788,2740,2740,2740,78.008,12.332,68.276,28.272,68.006,28.695,67.946,29.515,0.12,0.65,0.744,0.385,0.504,0.697,0,0,0,0
0.501,2680,5645,5645,5645,489.743,163.313,439.806,197.759,441.112,192.47,445.111,194.047,0.076,0.587,0.84,0.332,0.501,0.714,0,0,0,0
0.496,479,479,1465,1465,159.276,15.24,159.301,14.397,173.864,97.052,177.149,79.775,0.828,0.045,0.616,0.437,0.496,0.331,0,0,0,0
0.491,4252,4252,4252,1350,19.775,236.456,21.556,237.09,21.068,235.615,20.369,215.867,0.71,0.658,0.107,0.684,0.491,0.382,0,0,0,0
0.49,1839,1839,1839,5781,128.312,15.668,129.085,16.363,130.059,13.505,123.421,55.293,0.717,0.667,0.086,0.692,0.49,0.377,0,0,0,0
0.478,3600,3600,5103,5103,14.182,111.244,14.182,111.244,29.141,129.541,26.674,127.805,0.603,0.071,0.758,0.337,0.478,0.415,0,0,0,0
0.477,1213,5769,5769,5769,10.152,143.49,69.321,144.503,59.286,140.455,60.749,145.24,0.073,0.619,0.74,0.346,0.477,0.679,0,0,0,0
0.473,3481,3481,2844,2844,117.844,23.753,115.964,19.504,104.241,12.66,102.194,15.913,0.525,0.15,0.743,0.338,0.473,0.446,0,0,0,0
0.467,320,320,1521,1521,97.032,13.376,99.476,15.348,63.788,11.81,62.611,12.988,0.813,0.04,0.548,0.426,0.467,0.294,0,0,0,0
0.464,5692,5692,5692,5692,412.485,445.513,411.928,445.083,411.928,445.083,411.928,445.083,0.439,0.37,0.582,0.404,0.464,0.476,1,1,1,1
0.463,5259,2496,2496,2496,332.424,14.624,355.395,43.306,362.82,45.097,362.797,46.041,0.055,0.635,0.698,0.345,0.463,0.667,1,0,0,0
0.46,5973,4016,4016,4016,482.633,42.608,482.433,24.632,486.242,25.921,486.201,25.835,0.027,0.66,0.694,0.344,0.46,0.677,0,0,0,0
0.458,5252,5252,5252,30,11.315,174.709,11.299,174.73,11.298,174.73,19.573,167.94,0.67,0.654,0.05,0.662,0.458,0.352,0,0,0,0
0.452,3318,3318,3318,3318,20.368,386.479,13.036,387.287,11.931,383.969,10.51,383.213,0.462,0.449,0.444,0.455,0.452,0.446,0,0,0,0
0.449,4597,4597,4597,5334,237.945,10.902,237.945,10.902,237.945,10.902,236.781,13.914,0.575,0.622,0.151,0.598,0.449,0.387,0,0,0,0
0.448,4894,4894,1431,1431,478.598,33.12,483.861,30.401,475.671,13.306,476.118,12.959,0.475,0.055,0.815,0.265,0.448,0.435,0,0,1,1
0.434,1104,1104,1565,1565,13.949,125.674,13.949,125.674,119.067,81.119,108.907,83.684,0.794,0.069,0.438,0.432,0.434,0.254,0,0,0,0
0.432,5521,5521,5521,3117,11.578,167.397,11.319,167.181,11.213,167.092,46.618,156.475,0.487,0.752,0.057,0.62,0.432,0.405,1,1,1,1
0.421,4812,4812,4812,3155,18.9,333.008,11.632,322.306,11.708,323.711,14.124,402.254,0.637,0.549,0.076,0.593,0.421,0.312,0,0,0,0
0.407,1537,1537,1537,3481,119.126,18.502,117.073,13.811,144.177,13.014,104.14,11.975,0.369,0.632,0.22,0.5,0.407,0.426,1,1,1,0
