frames,auprc,brier,p@_100,p@_500,p@_1000,p@_2000,p@_5000,p@_5428,auprc_total,brier_total
0-1,0.9999978815045286,0.09961285280029475,1.0,1.0,1.0,1.0,1.0,0.9964996315401621,0.999999643787141,0.10057891169245885
1-2,1.0,0.10733347899778925,1.0,1.0,1.0,1.0,1.0,0.9979734708916728,0.999999643787141,0.10057891169245885
2-3,1.0,0.09479040327929257,1.0,1.0,1.0,1.0,1.0,0.997789240972734,0.999999643787141,0.10057891169245885
Mean,0.9999992938348429,0.10057891169245886,1.0,1.0,1.0,1.0,1.0,0.9974207811348563,0.9999996437871411,0.10057891169245885
Max,1.0,0.10733347899778925,1.0,1.0,1.0,1.0,1.0,0.9979734708916728,0.999999643787141,0.10057891169245885
